Powered by Clearbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Machines Corp (NYS: IBM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange rate used is that of the Year End reported date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardized Quarterly Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date,12/31/2023,,09/30/2023,,06/30/2023,,03/31/2023,,12/31/2022,,09/30/2022,,06/30/2022,,03/31/2022,,12/31/2021,,09/30/2021,,06/30/2021,,03/31/2021,,12/31/2020,,09/30/2020,,06/30/2020,,03/31/2020,,12/31/2019,,09/30/2019,,06/30/2019,,03/31/2019,
,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
Audit Status,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,
Consolidated,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Scale,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,
Cash & Equivalents,13089000,,7257000,,9394000,,9337000,,7989000,,7816000,,7034000,,9934000,,6957000,,7455000,,7350000,,10531000,,13675000,,14393000,,12041000,,11218000,,8313000,,10087000,,45399000,,17134000,
Short Term Investments,373000,,3721000,,6904000,,8057000,,852000,,1753000,,524000,,550000,,600000,,600000,,600000,,600000,,600000,,1200000,,2063000,,647000,,696000,,733000,,874000,,872000,
Cash & Equivs & ST Investments,13462000,,10978000,,16298000,,17394000,,8841000,,9569000,,7558000,,10484000,,7557000,,8055000,,7950000,,11131000,,14275000,,15593000,,14104000,,11865000,,9009000,,10820000,,46273000,,18006000,
Receivables (ST),14648000,,11204000,,12940000,,13231000,,15148000,,13103000,,14009000,,14135000,,15770000,,14669000,,15823000,,16067000,,18738000,,17870000,,19447000,,20669000,,23795000,,20959000,,24738000,,27945000,
Inventories,1161000,,1398000,,1501000,,1603000,,1552000,,1794000,,1684000,,1776000,,1649000,,1891000,,1807000,,1828000,,1839000,,1949000,,1869000,,1786000,,1619000,,1712000,,1745000,,1771000,
Prepayments (ST),-,,-,,2283000,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Assets Held for Sale (ST),-,,593000,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Other Current Assets,3637000,,3532000,,1436000,,3754000,,3577000,,4533000,,4645000,,4935000,,4563000,,5352000,,5194000,,5012000,,4313000,,4433000,,4533000,,4611000,,3997000,,4630000,,4761000,,4983000,
Total Current Assets,32908000,,27705000,,34458000,,35982000,,29118000,,28999000,,27896000,,31330000,,29539000,,29967000,,30774000,,34038000,,39165000,,39845000,,39953000,,38931000,,38420000,,38121000,,77517000,,52705000,
Gross Property Plant & Equip,18123000,,18217000,,18588000,,18761000,,18695000,,18675000,,19079000,,20006000,,20085000,,32349000,,32575000,,32269000,,33176000,,32432000,,31666000,,31089000,,32028000,,31670000,,31843000,,32692000,
Accumulated Depreciation,12621000,,12848000,,13145000,,13417000,,13361000,,13525000,,13804000,,14448000,,14390000,,23211000,,23152000,,22817000,,23136000,,22474000,,21957000,,21464000,,22018000,,21608000,,21641000,,22017000,
Net Property Plant & Equip,5502000,,5369000,,5443000,,5344000,,5334000,,5150000,,5275000,,5559000,,5694000,,9138000,,9423000,,9452000,,10040000,,9958000,,9709000,,9626000,,10010000,,10063000,,10202000,,10675000,
Receivables (LT),5766000,,4789000,,5221000,,5065000,,5806000,,4781000,,5316000,,4610000,,5606000,,5046000,,5674000,,5922000,,7509000,,6423000,,7351000,,7708000,,8988000,,7739000,,8441000,,8361000,
Long Term Investments,1626000,,-,,-,,-,,-,,-,,-,,-,,206000,,-,,-,,-,,226000,,-,,-,,-,,222000,,-,,-,,-,
Intangible Assets,71214000,,70874000,,66881000,,67098000,,67133000,,65185000,,66610000,,68418000,,68154000,,74403000,,75184000,,73519000,,73413000,,72317000,,72103000,,72183000,,73457000,,73564000,,38012000,,39237000,
Prepayments (LT),7506000,,8901000,,8735000,,8487000,,8236000,,9695000,,9930000,,9995000,,10593000,,8197000,,8046000,,7800000,,8387000,,7636000,,7254000,,6933000,,7529000,,5481000,,5319000,,4966000,
Deferred LT Assets,7498000,,6990000,,7237000,,7265000,,7122000,,7686000,,7938000,,8483000,,8294000,,11215000,,11316000,,11289000,,11690000,,11290000,,11134000,,11241000,,7654000,,7529000,,7936000,,7947000,
Other Assets,3220000,,4694000,,4238000,,4396000,,4495000,,4354000,,4537000,,4879000,,3914000,,6249000,,6397000,,6608000,,5541000,,6659000,,6695000,,6782000,,5906000,,7122000,,7226000,,7037000,
Total Assets,135241000,,129321000,,132213000,,133637000,,127243000,,125850000,,127503000,,133275000,,132001000,,144214000,,146814000,,148629000,,155971000,,154128000,,154200000,,153403000,,152186000,,149620000,,154652000,,130926000,
Accounts Payable & Accrued Exps,9903000,,9908000,,10568000,,6500000,,9728000,,7175000,,7034000,,6390000,,9448000,,8028000,,8060000,,7396000,,11649000,,7587000,,8205000,,7201000,,11141000,,7546000,,8280000,,8738000,
Accounts Payable,4132000,,3342000,,3732000,,3728000,,4051000,,3806000,,3707000,,3453000,,3955000,,4248000,,4214000,,4140000,,4908000,,3985000,,4719000,,4172000,,4896000,,4042000,,4724000,,5711000,
Accrued Expenses,5771000,,6566000,,6836000,,2772000,,5677000,,3369000,,3327000,,2937000,,5493000,,3780000,,3846000,,3256000,,6741000,,3602000,,3486000,,3029000,,6245000,,3504000,,3556000,,3027000,
Current Debt,6305000,,6414000,,6785000,,4887000,,4759000,,5937000,,5981000,,7690000,,6786000,,7575000,,6442000,,5198000,,7183000,,10285000,,9289000,,11642000,,8797000,,8530000,,14594000,,10250000,
Current Lease Obligations,121000,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Other Current Liabilities,17793000,,14284000,,15160000,,19606000,,17018000,,17354000,,18829000,,19976000,,17385000,,20229000,,22114000,,23948000,,21037000,,20121000,,20948000,,21830000,,17763000,,18990000,,19477000,,19883000,
Total Current Liabilities,34122000,,30606000,,32513000,,30993000,,31505000,,30466000,,31844000,,34056000,,33619000,,35832000,,36616000,,36542000,,39869000,,37993000,,38442000,,40673000,,37701000,,35066000,,42351000,,38871000,
LT Debt & Leases,50121000,,48828000,,50691000,,53825000,,46189000,,44942000,,44328000,,46545000,,44917000,,46927000,,48735000,,51206000,,54355000,,55128000,,55449000,,52685000,,54102000,,57797000,,58445000,,39727000,
Pensions & OPEB,10808000,,9090000,,9385000,,9509000,,11206000,,11760000,,13118000,,13937000,,16480000,,16764000,,17265000,,17346000,,20335000,,16732000,,16483000,,16474000,,19141000,,15925000,,16471000,,16467000,
Deferred LT Liabilities,3533000,,3085000,,3264000,,3443000,,5791000,,3018000,,3069000,,3423000,,7533000,,3965000,,4113000,,4153000,,9773000,,3820000,,3787000,,3769000,,9081000,,3382000,,3474000,,3481000,
Minority Interests,80000,,75000,,70000,,68000,,77000,,71000,,67000,,62000,,95000,,129000,,125000,,124000,,129000,,126000,,137000,,129000,,144000,,139000,,131000,,126000,
Other Liabilities,14043000,,14557000,,14089000,,14193000,,10531000,,15516000,,15668000,,16202000,,10456000,,18371000,,18019000,,17868000,,10912000,,19119000,,19350000,,19673000,,11176000,,19354000,,16136000,,15774000,
Total Liabilities,112708000,,106240000,,110012000,,112032000,,105299000,,105774000,,108093000,,114224000,,113100000,,121987000,,124872000,,127240000,,135373000,,132920000,,133649000,,133404000,,131346000,,131663000,,137007000,,114446000,
Common Share Capital,453382,,453039,,452539.438,,58675000,,58343000,,58117000,,57802000,,57603000,,57319000,,57189000,,56912000,,56788000,,56556000,,56366000,,56135000,,56092000,,55895000,,55808000,,55404000,,55287000,
Additional Paid-In Capital,59189618,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Retained Earnings,151276000,,149506000,,149318000,,149253000,,149825000,,148611000,,153298000,,153401000,,154209000,,161747000,,162086000,,162218000,,162717000,,162806000,,162559000,,162626000,,162954000,,160709000,,160467000,,159396000,
Accum Other Comprehensive Income,-18760000,,-16097000,,-16499000,,-16780000,,-16740000,,-17138000,,-22169000,,-22532000,,-23234000,,-27302000,,-27652000,,-28257000,,-29337000,,-28584000,,-28757000,,-29283000,,-28597000,,-29086000,,-28841000,,-29182000,
Treasury Stock,169624000,,169640000,,169581000,,169544000,,169484000,,169514000,,169522000,,169422000,,169392000,,169406000,,169404000,,169360000,,169339000,,169380000,,169386000,,169437000,,169413000,,169474000,,169385000,,169021000,
For Curr Trans (BS),-3488000,,-3552000,,-3539000,,-3621000,,-3591000,,-3347000,,-3189000,,-3056000,,-3362000,,-4505000,,-4271000,,-4343000,,-4665000,,-4794000,,-4602000,,-4741000,,-3700000,,-4095000,,-3477000,,-3519000,
Other Equity,3486000,,62410961,,62049460.562,,3621000,,3591000,,3347000,,3189000,,3056000,,3361000,,4505000,,4271000,,4343000,,4665000,,4794000,,4602000,,4742000,,3702000,,4094000,,3477000,,3520000,
Total Equity,22533000,,23081000,,22201000,,21604000,,21944000,,20076000,,19409000,,19050000,,18901000,,22228000,,21942000,,21389000,,20597000,,21208000,,20551000,,19999000,,20841000,,17956000,,17645000,,16481000,
Total Liabilities & Equity,135241000,,129321000,,132213000,,133636000,,127243000,,125850000,,127502000,,133274000,,132001000,,144215000,,146814000,,148629000,,155970000,,154128000,,154200000,,153403000,,152187000,,149619000,,154652000,,130927000,